School Yr,Location,District ID,District Name,School ID,School Name,School Type,Grade Band,Virtual Status,Governance,ADM,Total Expenditures,Per Pupil Exp,Fed Per Pupil Exp,State/Local Per Pupil Exp,Direct Classroom Expenditures,Classroom Support,Building Support,Central Support,Other Expenditures,ESD Direct Support,School Expenditures,District Expenditures,General Fund,Special State and Local Revenue Funds,Special Federal Revenue Funds,Special Revenue Funds,Trust and Agency Funds,Internal Service Funds,Enterprise Funds,ESD General Fund,ESD Special Revenue Funds,ESD Internal
23-24,Corvallis SD 509J-Adams Elementary School,1901,Corvallis SD 509J,27,Adams Elementary School,Regular,Elementary,Not Virtual,Public,360.9111881188119,6844537.986472021,18964.604622394807,1303.1201674356637,17661.484454959143,3431257.30552749,1310272.2349146456,1479354.6229833101,216999.3755925686,406654.4474540065,184537.26770343696,3103865.58,3556135.138768584,5278596.125131042,400971.81634387275,470310.6478907904,222651.22777551957,63457.322145571794,224013.57948178743,0,184396.47567516993,140.79202826703607,0
23-24,Corvallis SD 509J-Cheldelin Middle School,1901,Corvallis SD 509J,28,Cheldelin Middle School,Regular,Junior High/Middle School,Not Virtual,Public,534.14,10420881.587678473,19509.644639380076,600.5799341551884,18909.064705224886,4795736.849283132,2498206.16715156,2190440.7515510255,321153.93009334384,615343.8895994129,273110.7802029817,4884775.13,5262995.6774754925,8253964.938443433,804538.4976847417,320793.7660296523,329518.5372997229,93915.33198931329,345039.7360286299,0,272902.4113397981,208.3688631835873,0
23-24,Corvallis SD 509J-Garfield Elementary School,1901,Corvallis SD 509J,30,Garfield Elementary School,Regular,Elementary,Not Virtual,Public,368.11,7416402.169707236,20147.244491340185,2163.106670459045,17984.13782088114,3828852.4449178376,1428353.7047614125,1508862.1472358336,221327.69162890033,429006.18116325286,188218.08758100797,3601117.51,3627066.572126229,5455463.821091496,441921.4129084702,796261.196462679,227092.27686636653,64723.055488422724,242722.31930879346,0,188074.48728478132,143.60029622666403,0
23-24,Corvallis SD 509J-Bessie Coleman Elementary School,1901,Corvallis SD 509J,33,Bessie Coleman Elementary School,Regular,Elementary,Not Virtual,Public,344.5838613861386,6526092.448668114,18939.054262193127,1239.087641484051,17699.966620709078,3245117.7658616398,1271770.2355493633,1415292.97074055,207182.50146197336,386728.9750545872,176188.9527624301,2954645,3395258.4959056834,4960282.454540257,477135.57350317424,426969.6040984176,212578.66847839678,60586.564833636716,212350.630451801,0,176054.5300502789,134.4227121511973,0
23-24,Corvallis SD 509J-Kathryn Jones Harrison Elementary School,1901,Corvallis SD 509J,35,Kathryn Jones Harrison Elementary School,Regular,Elementary,Not Virtual,Public,254.24,5269165.285327396,20725.162387222295,1459.7099835943943,19265.4524036279,2689122.8807030804,1081992.3875755656,1042115.4337378454,152862.8733795105,303071.7099313939,129995.29104505574,2634088.89,2505081.1042823405,4114553.3860191302,277541.5377451019,371116.66622903885,156844.2597878488,44701.82724559668,174412.31725562373,0,129896.11161686126,99.17942819447192,0
23-24,Corvallis SD 509J-Lincoln Elementary School,1901,Corvallis SD 509J,36,Lincoln Elementary School,Regular,Elementary,Not Virtual,Public,322.96,6607674.364215449,20459.72988672111,1961.1988442540446,18498.531042467064,3419476.006100798,1286001.6950763243,1323948.5814095915,194181.06350946627,384067.01811926905,165132.47009090305,3260347.93,3182193.964124546,4814451.902120588,518046.53462774586,633388.7787402862,199238.60187650897,56784.54266534731,220631.5340940695,0,165006.48288145653,125.98720944653338,0
23-24,Corvallis SD 509J-Mt View Elementary School,1901,Corvallis SD 509J,37,Mt View Elementary School,Regular,Elementary,Not Virtual,Public,236.04881188118813,4955101.882820941,20991.85267373861,2207.7096164146024,18784.143057324007,2391436.8789867917,1169789.7636658677,967550.7787007059,141925.34472143627,284399.1167461386,120693.96633627542,2508568.48,2325839.436484665,3661521.254332379,299688.75272282027,521127.23193334043,145621.85798185226,41503.35592448561,164945.4635897872,0,120601.8833194867,92.08301678870637,0
23-24,Corvallis SD 509J-Linus Pauling Middle School,1901,Corvallis SD 509J,38,Linus Pauling Middle School,Regular,Junior High/Middle School,Not Virtual,Public,732.79,14207682.62460967,19388.477769360485,586.4458675956818,18802.031901764803,6737529.479382907,3179442.982942097,3013789.6477499832,440593.0812766343,836327.4332580479,374682.3840658684,6612663.62,7220336.620543801,11324990.563516986,1031860.9636529783,429741.6673154396,452068.5381133485,128843.03015772808,465495.477787321,0,374396.5215218681,285.8625440002638,0
23-24,Corvallis SD 509J-Letitia Carson Elementary School,1901,Corvallis SD 509J,39,Letitia Carson Elementary School,Regular,Elementary,Not Virtual,Public,365.1,7588224.72467445,20783.96254361668,2013.8885564170164,18770.073987199663,4038132.8516633683,1396052.5287824064,1496638.3268474173,219517.91642093804,437883.1009603206,186679.04641500098,3804137.28,3597408.3982594498,5705660.597160103,418062.7183564219,735270.7119478527,225235.365200376,64193.82130021769,253122.46429447853,0,186536.62032455966,142.42609044132197,0
23-24,Corvallis SD 509J-Corvallis High School,1901,Corvallis SD 509J,40,Corvallis High School,Regular,High School,Supplemental Virtual,Public,1245.91,23490410.65322198,18854.01887232784,698.5986348973923,18155.420237430448,9930175.169360742,6220519.752359869,5178284.933764628,749108.647625338,1412322.1501114024,637045.441574675,10577147.47,12276217.741647305,16815755.826432876,3426296.881808134,870391.0252050102,768619.5394598753,219062.51409519097,753239.4246462168,0,636559.4101029091,486.0314717659476,0
23-24,Corvallis SD 509J-Crescent Valley High School,1901,Corvallis SD 509J,41,Crescent Valley High School,Regular,High School,Supplemental Virtual,Public,894.69,17558613.861489415,19625.360584659953,682.2475748926163,18943.113009767338,7491598.104631605,4784524.031081981,3728340.794788047,537936.1398045715,1016214.7911832081,457463.36904146057,8285578.54,8815571.952447953,12595784.574311893,2622257.1935787653,610400.0827806749,551946.9430049971,157309.1481213141,563452.5506503067,0,457114.3490500693,349.01999139125274,0
23-24,Corvallis SD 509J-Franklin School,1901,Corvallis SD 509J,1322,Franklin School,Regular,Elementary,Not Virtual,Public,303.45,6015085.91528201,19822.329593943025,1322.4890795979163,18499.84051434511,2915053.7857703343,1320491.929743964,1243824.4507856718,182450.59363991686,353265.1553421235,155156.82452651887,2869971.33,2989957.7607554914,4609166.500757965,409193.67960765876,401309.3112039877,187202.60632718186,53354.190834157926,199702.80202453985,0,155038.44819908965,118.37632742924994,0
23-24,Corvallis SD 509J-Inavale Community Partners dba Muddy Creek Charter School ,1901,Corvallis SD 509J,4637,Inavale Community Partners dba Muddy Creek Charter School ,Charter,Elementary,Not Virtual,Public,100.66613861386139,1043356.5358328425,10364.523266706246,555.6692740286298,9808.853992677617,289865.0778102712,197696.4563949436,412624.8297053895,60525.940845401776,82644.23107683635,51471.53865438497,0,991884.9971784574,725343.8061418455,99100.44746011485,55937.08016282978,62102.36782800532,17699.65519901715,31701.640386644798,0,51432.2686336712,39.270020713767394,0
23-24,West Linn-Wilsonville SD 3J-Cedaroak Park Primary School,1922,West Linn-Wilsonville SD 3J,45,Cedaroak Park Primary School,Regular,Elementary,Not Virtual,Public,334.45,6468938.647187058,19342.020173978348,0,19342.020173978348,3918841.7288639066,1170202.7823615118,1046299.6103155605,173539.8396677214,160054.6859783574,147819.14026292655,4807970,1513149.5069241312,5659684.904985286,0,0,661434.6019388454,0,0,0,143688.18002409162,4130.960238834921,0
23-24,West Linn-Wilsonville SD 3J-Inza R Wood Middle School,1922,West Linn-Wilsonville SD 3J,46,Inza R Wood Middle School,Regular,Junior High/Middle School,Not Virtual,Public,477.69851485148513,8935649.297282517,18705.6250322666,0,18705.6250322666,5263443.773350299,1655035.088687831,1540693.8035693453,247868.81051527988,228607.82115976122,211131.66024883653,6563270,2161247.6370336805,7604577.724886664,0,0,1119939.9121470165,0,0,0,205231.36552316163,5900.294725674923,0
