Address,CaseNumber,CouncilDistrict,CrimeAgainst,CustomCrimeAgainst,CustomCrimeCategory,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseCount,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,ReportMonthYear
NW 5TH AVE / NW EVERETT ST,26-29972,4,Property,Property,Larceny: Car Prowl - Other,Old Town/Chinatown,1/30/2026,2000,Larceny Offenses,1,Theft From Motor Vehicle,45.525218660,-122.675486694,7644617,685088,1/31/2026,January 2026
NW 5TH AVE / NW EVERETT ST,26-29972,4,Property,Property,Vandalism,Old Town/Chinatown,1/30/2026,2000,Vandalism,1,Vandalism,45.525218660,-122.675486694,7644617,685088,1/31/2026,January 2026
NW 5TH AVE / NW GLISAN ST,26-27141,4,Society,Society,Drug Offenses,Old Town/Chinatown,1/28/2026,1557,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.526647074,-122.675541429,7644617,685609,1/28/2026,January 2026
NW 5TH AVE / NW GLISAN ST,26-28153,4,Society,Society,Drug Offenses,Old Town/Chinatown,1/29/2026,1502,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.526647074,-122.675541429,7644617,685609,1/29/2026,January 2026
NW 6TH AVE / NW HOYT ST,26-1553,4,Society,Society,Drug Offenses,Old Town/Chinatown,1/2/2026,1650,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.527340779,-122.676578999,7644358,685869,1/2/2026,January 2026
NW 6TH AVE / NW HOYT ST,26-10485,4,Society,Society,Drug Offenses,Old Town/Chinatown,1/12/2026,58,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.527340779,-122.676578999,7644358,685869,1/12/2026,January 2026
NW 6TH AVE / NW HOYT ST,26-14103,4,Property,Property,Larceny: Other,Old Town/Chinatown,11/15/2025,1200,Larceny Offenses,1,All Other Larceny,45.527340779,-122.676578999,7644358,685869,1/15/2026,January 2026
NW 9TH AVE / NW COUCH ST,26-30271,4,Property,Property,Larceny: Car Prowl - Other,Pearl,1/30/2026,2200,Larceny Offenses,1,Theft From Motor Vehicle,45.523709690,-122.680116597,7643416,684570,1/31/2026,January 2026
NW 9TH AVE / NW DAVIS ST,26-18323,4,Property,Property,Motor Vehicle Theft,Pearl,1/19/2026,1440,Motor Vehicle Theft,1,Motor Vehicle Theft,45.524422599,-122.680140068,7643417,684830,1/19/2026,January 2026
NW 9TH AVE / NW DAVIS ST,26-23546,4,Property,Property,Vandalism,Pearl,1/24/2026,1700,Vandalism,1,Vandalism,45.524422599,-122.680140068,7643417,684830,1/24/2026,January 2026
NW 9TH AVE / NW DAVIS ST,26-901236,4,Property,Property,Larceny: Car Prowl - Other,Pearl,1/13/2026,830,Larceny Offenses,1,Theft From Motor Vehicle,45.524422599,-122.680140068,7643417,684830,1/14/2026,January 2026
NW 9TH AVE / NW EVERETT ST,26-900991,4,Property,Property,Larceny: Car Prowl - Other,Pearl,1/11/2026,925,Larceny Offenses,1,Theft From Motor Vehicle,45.525135435,-122.680167441,7643417,685090,1/11/2026,January 2026
NW 9TH AVE / NW NAITO PKWY,26-900320,4,Property,Property,Vandalism,Pearl,12/31/2025,1230,Vandalism,1,Vandalism,45.532839290,-122.679752815,7643599,687895,1/2/2026,January 2026
NW 10TH AVE / W BURNSIDE ST,26-29973,4,Society,Society,Drug Offenses,Pearl,1/31/2026,821,Drug/Narcotic Offenses,1,Drug/Narcotic Violations,45.522980129,-122.681115108,7643153,684311,1/31/2026,January 2026
NW 11TH AVE / NW GLISAN ST,26-13181,4,Person,Person,Assault: Simple/Intimidation,Pearl,1/14/2026,1450,Assault Offenses,1,Simple Assault,45.526522605,-122.682250467,7642897,685610,1/14/2026,January 2026
NW 11TH AVE / NW GLISAN ST,26-900302,4,Property,Property,Larceny: Car Prowl - Other,Pearl,1/1/2026,150,Larceny Offenses,1,Theft From Motor Vehicle,45.526522605,-122.682250467,7642897,685610,1/1/2026,January 2026
NW 11TH AVE / NW GLISAN ST,26-902505,4,Property,Property,Larceny: Other,Pearl,1/29/2026,1300,Larceny Offenses,1,All Other Larceny,45.526522605,-122.682250467,7642897,685610,1/29/2026,January 2026
NW 11TH AVE / NW GLISAN ST,26-902537,4,Property,Property,Vandalism,Pearl,1/28/2026,2000,Vandalism,1,Vandalism,45.526522605,-122.682250467,7642897,685610,1/29/2026,January 2026
NW 12TH AVE / NW DAVIS ST,26-17058,4,Property,Property,Motor Vehicle Theft,Pearl,1/18/2026,630,Motor Vehicle Theft,1,Motor Vehicle Theft,45.524370247,-122.683186482,7642636,684832,1/18/2026,January 2026
NW 12TH AVE / NW LOVEJOY ST,26-8039,4,Person,Person,Assault: Simple/Intimidation,Pearl,1/9/2026,1213,Assault Offenses,1,Simple Assault,45.530070326,-122.683397880,7642638,686911,1/9/2026,January 2026
NW 12TH AVE / NW MARSHALL ST,26-900857,4,Property,Property,Larceny: Other,Pearl,1/9/2026,1620,Larceny Offenses,1,All Other Larceny,45.530780492,-122.683421290,7642639,687170,1/9/2026,January 2026
NW 13TH AVE / NW EVERETT ST,26-4287,4,Property,Property,Larceny: Car Prowl - Car Parts,Pearl,1/3/2025,2359,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories,45.525061142,-122.684224000,7642377,685091,1/5/2026,January 2026
NW 13TH AVE / NW HOYT ST,26-13407,4,Property,Property,Motor Vehicle Theft,Pearl,1/14/2026,1400,Motor Vehicle Theft,1,Motor Vehicle Theft,45.527199718,-122.684302373,7642378,685871,1/14/2026,January 2026
NW 13TH AVE / NW LOVEJOY ST,26-901503,4,Property,Property,Larceny: Other,Pearl,1/15/2026,1745,Larceny Offenses,1,All Other Larceny,45.530056610,-122.684408392,7642379,686913,1/15/2026,January 2026
